                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5463,                 3.0383,                 1.5156,                0.03154,                0.32986,                0.23436,                0.15578,                 1.4217,                 3.2613,                 1.3003,             0.00027151,             0.00027151,             0.00027151
                      2,                 1.3172,                 1.7882,                 1.2779,                 0.9175,                0.24164,                0.30204,                0.18434,                 1.5197,                 2.7785,                 1.3508,             0.00055547,             0.00055547,             0.00055547
                      3,                 1.2986,                 1.5311,                  1.253,                0.90599,                0.22181,                0.28122,                0.17471,                 1.6718,                 2.7288,                  1.537,             0.00083755,             0.00083755,             0.00083755
                      4,                 1.3393,                 1.4118,                 1.2636,                0.83949,                0.23758,                0.38525,                 0.1697,                 1.8684,                 2.5999,                 1.7269,              0.0011177,              0.0011177,              0.0011177
                      5,                 1.3763,                 1.3161,                 1.2634,                0.43376,                0.42384,                0.37443,                0.18754,                 1.6907,                 2.6003,                 1.4867,               0.001396,               0.001396,               0.001396
                      6,                 1.3629,                 1.2568,                 1.2638,                0.52648,                0.37205,                0.29899,                0.13501,                  1.793,                 2.4585,                 1.5912,              0.0014054,              0.0014054,              0.0014054
                      7,                  1.327,                 1.1696,                 1.2375,                0.41612,                0.56042,                0.45585,                0.23991,                 1.5462,                 1.9529,                  1.418,              0.0014054,              0.0014054,              0.0014054
                      8,                 1.3071,                 1.0808,                 1.2173,                0.51479,                0.56196,                0.49669,                0.22502,                 1.8355,                 1.7073,                 1.5636,              0.0014007,              0.0014007,              0.0014007
                      9,                 1.2928,                 1.0592,                 1.2111,                0.54268,                0.53298,                0.51601,                0.26496,                 1.5981,                 1.6864,                 1.3734,               0.001396,               0.001396,               0.001396
                     10,                 1.2759,                 1.0259,                 1.1916,                0.60689,                0.53731,                0.57883,                0.32135,                 1.5977,                 1.4457,                 1.3822,              0.0013913,              0.0013913,              0.0013913
                     11,                 1.2288,                0.96977,                 1.1746,                0.75992,                0.64154,                0.69485,                0.40555,                 1.4302,                 1.1369,                 1.2413,              0.0013866,              0.0013866,              0.0013866
                     12,                 1.2242,                0.94754,                 1.1719,                0.60203,                0.59673,                0.61506,                0.34563,                 1.4937,                   1.26,                 1.3121,              0.0013818,              0.0013818,              0.0013818
                     13,                  1.215,                 0.9132,                 1.1636,                0.72891,                0.63196,                 0.7006,                0.39468,                 1.4538,                  1.218,                  1.255,              0.0013771,              0.0013771,              0.0013771
